source_id,url,locator,source_kind,event_earliest,event_latest,published_at,retrieved_at,sha256,content_path,authority_at_event,exclusion_reason,registration_commit,access_state,eligible,decisive_material_complete
board-2023-03-22,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2023/board_minutes_2023_03_22.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2023-03-22,2023-03-22,2023-10-10T18:05:35+00:00,2026-09-21T14:41:42.079220+00:00,196c56e6d31f447e11c767503f9c6ee30f08cd737a94c3384b07572d96e6b80f,sources/board_minutes_2023_03_22.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2023-04-19,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2023/board_minutes_2023_04_19.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2023-04-19,2023-04-19,2023-12-09T13:06:32+00:00,2026-09-21T14:41:42.094993+00:00,96a961a086722cd48c953908cb852aa67ed20d294ca6af68b8990209db439f6c,sources/board_minutes_2023_04_19.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2023-05-17,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2023/board_minutes_2023_05_17.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2023-05-17,2023-05-17,2023-10-12T10:16:27+00:00,2026-09-21T14:41:42.388117+00:00,3e8eb676326a427f4a2b34dacffbe98fd5bdad5d0c11975b467341bbc7ab1463,sources/board_minutes_2023_05_17.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2023-06-21,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2023/board_minutes_2023_06_21.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2023-06-21,2023-06-21,2023-12-09T13:06:32+00:00,2026-09-21T14:41:42.406147+00:00,ee6f70a274c85fb95490e65b6cb3bf91d78e82c6895f00beb6cb596c7a0dec46,sources/board_minutes_2023_06_21.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2023-07-19,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2023/board_minutes_2023_07_19.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2023-07-19,2023-07-19,2023-10-10T18:51:45+00:00,2026-09-21T14:41:42.434733+00:00,5d75c035c16ea809e2c612eaf047d013c2f6c8c65d6b8737fd58a9228dc0ba1f,sources/board_minutes_2023_07_19.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2023-08-16,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2023/board_minutes_2023_08_16.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2023-08-16,2023-08-16,2023-10-12T09:36:54+00:00,2026-09-21T14:41:42.695533+00:00,6d7aa8c42350ba5baf5d8aeecccf86582a4d88cff962b1d19dfb9793e17f38bc,sources/board_minutes_2023_08_16.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2023-09-20,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2023/board_minutes_2023_09_20.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2023-09-20,2023-09-20,2023-12-09T13:06:32+00:00,2026-09-21T14:41:42.735790+00:00,f5b2daf2c833547332e7d4b8ba253cfbb24cfadfe1b460ecb58efaebf67dc21f,sources/board_minutes_2023_09_20.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2023-10-18,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2023/board_minutes_2023_10_18.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2023-10-18,2023-10-18,2023-12-20T21:08:58+00:00,2026-09-21T14:41:42.748532+00:00,f624403a93bd54908e86a062b3dc50f1b28d846280fff995101aff5b3e05960b,sources/board_minutes_2023_10_18.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2023-11-15,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2023/board_minutes_2023_11_15.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2023-11-15,2023-11-15,2023-12-20T21:09:12+00:00,2026-09-21T14:41:43.042456+00:00,31286bcda3996141886d0968fb67137069803f82a2ab8a86c3791aecdd77b4d4,sources/board_minutes_2023_11_15.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2023-12-20,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2023/board_minutes_2023_12_20.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2023-12-20,2023-12-20,2024-01-17T21:03:11+00:00,2026-09-21T14:41:43.047526+00:00,a43f5c860583aec421de994c65dc0db97842f9976ca5f589bd7be6c65b1c23a6,sources/board_minutes_2023_12_20.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2024-01-17,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2024/board_minutes_2024_01_17.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2024-01-17,2024-01-17,2024-02-21T21:04:18+00:00,2026-09-21T14:41:43.051215+00:00,561fb09db2429d37bb48c1df09e8d70851afb306d1a89ee6844a0c740d295800,sources/board_minutes_2024_01_17.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2024-02-21,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2024/board_minutes_2024_02_21.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2024-02-21,2024-02-21,2024-03-20T21:02:43+00:00,2026-09-21T14:41:43.337436+00:00,58209c3e00ce0473bc1af3a59b4022fc3f03a8a73f4337078e67cc4bc99b5a58,sources/board_minutes_2024_02_21.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2024-03-20,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2024/board_minutes_2024_03_20.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2024-03-20,2024-03-20,2024-04-17T21:03:17+00:00,2026-09-21T14:41:43.350050+00:00,3b24c80d692acb71dccd7c491cf5fd538babd2cf8b338d2f7e4ae66e902d0e71,sources/board_minutes_2024_03_20.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2024-04-17,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2024/board_minutes_2024_04_17.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2024-04-17,2024-04-17,2024-05-15T21:02:40+00:00,2026-09-21T14:41:43.353702+00:00,42ae5fbe77ad90430619a0d072d526b71cd9c70ee45b252b202be6082073a9de,sources/board_minutes_2024_04_17.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2024-05-15,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2024/board_minutes_2024_05_15.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2024-05-15,2024-05-15,2024-06-19T21:03:04+00:00,2026-09-21T14:41:43.639739+00:00,007cf3659b3fd9261a0c55f63f9ec8dc40a971c709a9a3d8016a0d0c790549e7,sources/board_minutes_2024_05_15.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2024-06-19,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2024/board_minutes_2024_06_19.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2024-06-19,2024-06-19,2024-07-17T21:02:17+00:00,2026-09-21T14:41:43.699455+00:00,a8c9559542f242ea1536d9ae977ee1afbbf5191626d162c449dfe0995816223c,sources/board_minutes_2024_06_19.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2024-07-17,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2024/board_minutes_2024_07_17.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2024-07-17,2024-07-17,2024-08-21T21:03:19+00:00,2026-09-21T14:41:43.699518+00:00,41a1a4295eb688b48950d83766611e3a43e514420cfc5fa3fcde961fb3282b04,sources/board_minutes_2024_07_17.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2024-08-21,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2024/board_minutes_2024_08_21.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2024-08-21,2024-08-21,2024-10-16T21:02:30+00:00,2026-09-21T14:41:43.950013+00:00,4dac682ac86b164bdd3589aabfc18d543820889c19fc67cbebea0c37862926ca,sources/board_minutes_2024_08_21.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2024-09-18,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2024/board_minutes_2024_09_18.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2024-09-18,2024-09-18,2024-10-16T21:02:45+00:00,2026-09-21T14:41:44.014329+00:00,1bb8bd4f82ae80518c50fc28c85993d19a82172517a40768e0c09a54c0fe2ed0,sources/board_minutes_2024_09_18.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2024-10-16,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2024/board_minutes_2024_10_16.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2024-10-16,2024-10-16,2024-11-20T21:11:38+00:00,2026-09-21T14:41:44.019613+00:00,83841b79d368cdf3ee8dce8b9cee5beeb2e152efb4ae5a3a2623494f9f7995de,sources/board_minutes_2024_10_16.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2024-11-20,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2024/board_minutes_2024_11_20.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2024-11-20,2024-11-20,2024-12-18T21:02:25+00:00,2026-09-21T14:41:44.247981+00:00,4e550da5f2e0e774cca87db4dd7c3537a2fd0a13812602a79ce343ea41ec6081,sources/board_minutes_2024_11_20.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2024-12-18,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2024/board_minutes_2024_12_18.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2024-12-18,2024-12-18,2025-01-15T21:02:24+00:00,2026-09-21T14:41:44.297575+00:00,9993faeb9bf8a2d493a81f4dcd7316a721743ecab9a30e15993744dced14e059,sources/board_minutes_2024_12_18.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2025-01-15,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2025/board_minutes_2025_01_15.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2025-01-15,2025-01-15,2025-02-19T21:03:44+00:00,2026-09-21T14:41:44.311847+00:00,37236cf0bcdf11145dab2cefbbc3d457674bf0ead2ce19edf38e1b94df2ef43a,sources/board_minutes_2025_01_15.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2025-02-19,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2025/board_minutes_2025_02_19.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2025-02-19,2025-02-19,2025-03-19T22:18:11+00:00,2026-09-21T14:41:44.562992+00:00,ad457998bc51e241456778edc245db3149b477595376f8a86d6dc8cd97b5d54d,sources/board_minutes_2025_02_19.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2025-03-19,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2025/board_minutes_2025_03_19.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2025-03-19,2025-03-19,2025-04-16T22:04:44+00:00,2026-09-21T14:41:44.585111+00:00,49ec04dc878a995613e20cdc2c11da987577545e630d8a2e7869a0fb5e0acba8,sources/board_minutes_2025_03_19.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2025-04-16,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2025/board_minutes_2025_04_16.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2025-04-16,2025-04-16,2025-05-21T21:01:55+00:00,2026-09-21T14:41:44.611474+00:00,8a0a93ed8434e8828c53c777e13dbbb8d938836d379b1ac386e441dfa063639e,sources/board_minutes_2025_04_16.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2025-05-21,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2025/board_minutes_2025_05_21.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2025-05-21,2025-05-21,2025-06-18T21:02:27+00:00,2026-09-21T14:41:44.901219+00:00,5a9c7feaeb098e1f35a3ab6b7c42f3ed9711f97aa4df5e64b5535bf186e56acf,sources/board_minutes_2025_05_21.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2025-06-18,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2025/board_minutes_2025_06_18.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2025-06-18,2025-06-18,2025-07-16T21:02:46+00:00,2026-09-21T14:41:44.924944+00:00,2a6ab4188da40e682ec1597e2cbd559168920697c3a9427a8363295743b323e7,sources/board_minutes_2025_06_18.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2025-07-16,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2025/board_minutes_2025_07_16.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2025-07-16,2025-07-16,2025-08-20T21:01:48+00:00,2026-09-21T14:41:44.930486+00:00,39aca19cc3f44cacd1a23a5be83aa57631caca8c11881a7e40dd2c3f4728bba6,sources/board_minutes_2025_07_16.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2025-08-20,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2025/board_minutes_2025_08_20.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2025-08-20,2025-08-20,2025-10-02T19:26:54+00:00,2026-09-21T14:41:45.213499+00:00,835f54f8a59e3b7aaed99728a721f9983997fbc5afe578da814e5eb0e251a83c,sources/board_minutes_2025_08_20.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2025-08-24,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2025/board_minutes_2025_08_24.png,Official dated board record; public SVN revision bounds publication of retained bytes,official_policy,2025-08-24,2025-08-24,2025-10-11T20:45:53+00:00,2026-09-21T14:41:45.858710+00:00,4a2bce400027f178bb7e868e5364bc78381f619708247643cc37a197d7afa153,sources/board_minutes_2025_08_24.png,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2025-08-25,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2025/board_minutes_2025_08_25.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2025-08-25,2025-08-25,2025-10-03T23:04:15+00:00,2026-09-21T14:41:45.267830+00:00,9eee77bcb7a03ee760ebb196b4f9d2e68e006283952894686d9ebc386228064d,sources/board_minutes_2025_08_25.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2025-09-24,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2025/board_minutes_2025_09_24.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2025-09-24,2025-09-24,2025-10-29T18:12:20+00:00,2026-09-21T14:41:45.273972+00:00,6cff722921ad9dd74309f9d63d213c2525e92d3b8b3197fb8b41f1070515bd84,sources/board_minutes_2025_09_24.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2025-10-15,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2025/board_minutes_2025_10_15.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2025-10-15,2025-10-15,2025-11-19T22:02:51+00:00,2026-09-21T14:41:45.431007+00:00,321c25c432c24e3e9b7c0bac2617bdc3eb2362eddc6b7ede6af8d082f018c470,sources/board_minutes_2025_10_15.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2025-11-19,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2025/board_minutes_2025_11_19.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2025-11-19,2025-11-19,2025-12-18T03:28:06+00:00,2026-09-21T14:41:45.534596+00:00,3fe1471abea2398cdebada99487a7f844869f27f5e0d32706629ac9ccad6cdf1,sources/board_minutes_2025_11_19.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2025-12-17,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2025/board_minutes_2025_12_17.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2025-12-17,2025-12-17,2026-01-21T22:37:51+00:00,2026-09-21T14:41:45.587870+00:00,f6c7ec50bda60fe6a0690f1bcb70b164afac39d480973ff90081efd12af42d52,sources/board_minutes_2025_12_17.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
index-httpd-2023-01,https://lists.apache.org/api/stats.lua?list=dev&domain=httpd.apache.org&d=2023-01,Whole access object; no episode classification,archive_index,unknown,unknown,unknown,2026-09-21T14:38:49.703603+00:00,6f9f0815a6b5a47a7db1f7db40b15048b244fe424ed5619e73dcdf7360bda1f0,sources/httpd-2023-01-index.json.gz,Current official public archive; access only,,00d696ed80bd388955f622e0611853165f19508c,public_complete,unknown,yes
mailbox-httpd-2023-01,https://lists.apache.org/api/mbox.lua?list=dev&domain=httpd.apache.org&d=2023-01,Complete month-level mbox export; original Message-ID multiset checked against the index; not individually coded evidence,archive_index,unknown,unknown,unknown,2026-09-21T14:41:12.875162+00:00,2b56cfee82a9e20660b0f3419ffe7a6bd5d4ce154e916c7476474eb6040c9594,sources/httpd-2023-01.mbox.gz,Current official public archive; access only,,00d696ed80bd388955f622e0611853165f19508c,public_complete,unknown,yes
index-httpd-2023-02,https://lists.apache.org/api/stats.lua?list=dev&domain=httpd.apache.org&d=2023-02,Whole access object; no episode classification,archive_index,unknown,unknown,unknown,2026-09-21T14:39:35.369830+00:00,4d199284da842edecba9c0dfb24435cd5ac724d50494316cb80031f35696cf54,sources/httpd-2023-02-index.json.gz,Current official public archive; access only,,00d696ed80bd388955f622e0611853165f19508c,public_complete,unknown,yes
mailbox-httpd-2023-02,https://lists.apache.org/api/mbox.lua?list=dev&domain=httpd.apache.org&d=2023-02,Complete month-level mbox export; original Message-ID multiset checked against the index; not individually coded evidence,archive_index,unknown,unknown,unknown,2026-09-21T14:41:12.875652+00:00,82784063bcf038fbc8aaf98f37755f7818a585f2f15b5d1781f56daaa13b8885,sources/httpd-2023-02.mbox.gz,Current official public archive; access only,,00d696ed80bd388955f622e0611853165f19508c,public_complete,unknown,yes
index-httpd-2023-03,https://lists.apache.org/api/stats.lua?list=dev&domain=httpd.apache.org&d=2023-03,Whole access object; no episode classification,archive_index,unknown,unknown,unknown,2026-09-21T14:39:35.372108+00:00,55d8fbd9c93aad48db9754fe7d370153294bebdf5072cabdf58a2f924bb692bd,sources/httpd-2023-03-index.json.gz,Current official public archive; access only,,00d696ed80bd388955f622e0611853165f19508c,public_complete,unknown,yes
mailbox-httpd-2023-03,https://lists.apache.org/api/mbox.lua?list=dev&domain=httpd.apache.org&d=2023-03,Complete month-level mbox export; original Message-ID multiset checked against the index; not individually coded evidence,archive_index,unknown,unknown,unknown,2026-09-21T14:41:12.878153+00:00,4882a5fbf84330b8099d2f5c8181817fd4aa093b3c5da07c3c741da7db75106b,sources/httpd-2023-03.mbox.gz,Current official public archive; access only,,00d696ed80bd388955f622e0611853165f19508c,public_complete,unknown,yes
index-httpd-2023-04,https://lists.apache.org/api/stats.lua?list=dev&domain=httpd.apache.org&d=2023-04,Whole access object; no episode classification,archive_index,unknown,unknown,unknown,2026-09-21T14:39:35.372985+00:00,55296d6476c531506e96479817775b3860a3c41630838e04f578c26ce1c768c6,sources/httpd-2023-04-index.json.gz,Current official public archive; access only,,00d696ed80bd388955f622e0611853165f19508c,public_complete,unknown,yes
