topic_id,project,first_date,subject,message_count,review_state,classification,reason
topic-c8669d116ffa1b22,ant,2023-08-13,Release Ivy 2.5.2,2,pending,,
topic-26fe7d8896cec63a,ant,2023-08-16,[VOTE] Release Apache Ant 1.10.14 based on RC1,8,pending,,
topic-0101531a6020caf0,ant,2023-08-17,[CANCELLED][VOTE] Release Ivy 2.5.2 Based on RC1,1,pending,,
topic-77e133d97c97552a,ant,2023-08-17,[VOTE] Release Ivy 2.5.2 Based on RC1,4,pending,,
topic-957d2d7a45ac7b89,ant,2023-08-17,Mailing list threading improvements,1,body_reviewed_followup_pending,service_candidate,Comdev message announces October 2023 default notification threading with project opt-out via .asf.yml configuration. Shared initiating directive candidate; operative authority and exposure still need checking.
topic-9a0060f4c5765d09,ant,2023-08-17,[VOTE] Release Ivy 2.5.2 Based on RC2,4,pending,,
topic-12614694745a3403,ant,2023-08-20,CVE-2022-46751: Apache Ivy: XML External Entity vulnerability in Apache Ivy,1,pending,,
topic-48f7e15e42ca30a7,ant,2023-08-20,[ANN] Apache Ivy 2.5.2 Released,1,pending,,
topic-85d8d7fb6812346c,ant,2023-08-20,[RESULT] Release Ivy 2.5.2 Based on RC2,1,pending,,
topic-b99c0fa686c472fc,ant,2023-08-20,[RESULT] Release Apache Ant 1.10.14 based on RC1,1,pending,,
topic-b651c1351459c196,ant,2023-08-21,[ANNOUNCE] Apache Ant 1.10.14 released,3,pending,,
topic-7372b3d7c63f4cdf,ant,2023-08-22,Future of Ivy and IvyDE,18,body_reviewed_followup_pending,multiple_deliverables_candidate,"Ivy and IvyDE maintenance/retirement discussion extends from August 2023 into November 2024. Ivy retirement was explicitly abandoned after a PMC maintainer volunteered; split deliverables, preserve shared sources and earliest onset."
topic-f635825f7119a7a7,ant,2023-08-22,[**EXTERNAL**] RE: Future of Ivy and IvyDE,4,body_reviewed_followup_pending,multiple_deliverables_candidate,External-prefixed replies belong to the same Ivy/IvyDE discussion; usage reports do not supply foundation authority or employment-based exposure estimates.
topic-fcf7e484ce676931,ant,2023-08-22,JDK 21 Release Candidates & JVM Language Summit,1,pending,,
topic-d4c548456c799a16,ant,2023-09-08,Need help with release versions in bugzilla,4,body_reviewed_followup_pending,ordinary_maintenance,Bugzilla release-version update was already present before the request; requester acknowledged overlooking it. Administrator role is not established as foundation.
topic-43d75af61c362ab0,ant,2023-10-01,Need help with Ant tests,3,pending,,
topic-0a4dc4739e34aca6,ant,2023-10-20,"JDK 21 Is Now GA, a New VS Code Extension, and an Annotation Processing Heads-up",2,pending,,
topic-1db109b9b277782e,ant,2023-10-30,Call for Presentations now open: Community over Code EU 2024,1,pending,,
topic-a0afbcbbd01d34e3,ant,2023-11-06,[PR] Bump xalan:xalan from 2.7.2 to 2.7.3 in /src/etc/poms/ant-junit [ant],3,pending,,
topic-b940dbbd31ad1d1e,ant,2023-11-16,[PR] Throw BuildExceptions in ReplaceRegExp for IOExceptions and missing files [ant],5,pending,,
topic-936778472cfc2862,ant,2023-11-17,Issues with how Ivy processes maven dependency management dependencies compared to adding a classifier key,8,pending,,
topic-71d6e7dc02ea1979,ant,2023-11-19,Trying my hands at an ivy-updatesite (was Re: Future of Ivy and IvyDE),3,body_reviewed_followup_pending,release_followup,Ivy update-site build/test discussion is linked to retirement deliberations but does not open a formal release vote. Preserve as context with a separately identifiable technical deliverable.
topic-e69359849fbcf554,ant,2023-11-19,[VOTE] Send IvyDE to the Apache Attic,8,body_reviewed_followup_pending,governance_candidate,"Original IvyDE Attic proposal; keep with corrected retirement vote and result, not an independent family or observed Board decision."
topic-48361e2cb6c8f1df,ant,2023-11-21,Packaging ivy with Eclipse,2,pending,,
topic-c19afd175af8cf8e,ant,2023-11-22,[RESULT] Send IvyDE to the Apache Attic,2,body_reviewed_followup_pending,governance_candidate,"Initial vote passed, then proposer explicitly corrected the inapplicable Attic route and required a new local vote. Self-correction does not identify a foundation intervention."
topic-754b30198bbbb341,ant,2023-11-23,[VOTE] Retire the IvyDE Subproject,6,body_reviewed_followup_pending,governance_candidate,Replacement IvyDE retirement vote invokes existing Ant PMC process. Same deliverable as original Attic proposal; not a second independent family.
topic-9cb0a09162a705bf,ant,2023-11-26,[RESULT] Retire the IvyDE Subproject,2,body_reviewed_followup_pending,governance_candidate,Local retirement result passed; follow-up cites INFRA-25209 and INFRA-25210. Both currently require login; do not infer receiver action from their existence.
topic-ca48674c30367e05,ant,2023-11-26,[ANN] Apache IvyDE Retired,1,pending,,
topic-15b65a2cacd0971b,ant,2023-12-13,IVY-1576 still exist in 2.5.2,5,pending,,
topic-b3eb7fa6ad9a2539,ant,2023-12-13,JDK 22 Feature Freeze!,1,pending,,
topic-5310069b7f749e2d,ant,2023-12-22,Meet our keynote speakers and register to Community Over Code EU!,1,pending,,
topic-15954650856bdb3c,ant,2024-01-15,[PR] Buffer for more Speed [ant],7,pending,,
topic-4c30a66bd31a9ab5,ant,2024-01-26,JDK 22 RDP2 & Deprecate sun.misc.Unsafe Memory-Access Methods…,1,pending,,
topic-f799f9a59e105b3a,ant,2024-02-03,Community over Code EU 2024 Travel Assistance Applications now open!,1,pending,,
topic-63cf011a5686c678,ant,2024-02-20,Community Over Code Asia 2024 Travel Assistance Applications now open!,1,pending,,
topic-006fb091271e5e1b,ant,2024-02-21,Release Ant 1.10.15?,4,pending,,
topic-b995f3ea48f8531e,ant,2024-02-21,[PR] fix <compilerarg> example documentation in manual [ant],2,pending,,
topic-e8897b1896c94218,ant,2024-03-27,Community Over Code NA 2024 Travel Assistance Applications now open!,1,pending,,
topic-d0c4d0befbf04806,ant,2024-04-02,Java 22 is GA + Heads-up!,2,pending,,
topic-1cc8b3432caebddd,ant,2024-04-03,Participate in the ASF 25th Anniversary Campaign,1,pending,,
topic-79a78c08c6b86490,ant,2024-04-03,Community over Code EU 2024: Start planning your trip!,1,pending,,
topic-eb0e16c3d478a20d,ant,2024-04-19,[PR] pull [ant],1,pending,,
topic-18caec36753619ed,ant,2024-05-14,Community over Code EU 2024: The countdown has started!,1,pending,,
topic-3ebaf3aaf9876159,ant,2024-05-27,[PR] IVY-1651 Augment 'Child elements’ section of 'File System Resolver' documentation [ant-ivy],4,pending,,
topic-4770d437de604ae7,ant,2024-06-10,JDK 23 Feature Freeze / New Loom EA builds,2,pending,,
topic-a329870759fa3aba,ant,2024-06-12,Ant jenkins jobs,2,body_reviewed_followup_pending,service_candidate,"Requester reports an earlier unanswered Infra request, then restored Jenkins build permission. Original request and receiver conduct require separate public corroboration."
topic-19dd4af610d95313,ant,2024-06-14,[External] : Re: JDK 23 Feature Freeze / New Loom EA builds,1,pending,,
topic-2096767aaa6c4862,ant,2024-06-16,[VOTE] EOL Apache Ant 1.9.x release series,8,body_reviewed_followup_pending,local_governance_candidate,Formal proposal to end the Ant 1.9.x release series; not a routine release-opening baseline entry. Retrospective 2020 vote remains context only.
topic-bb1e4429527f0127,ant,2024-06-19,[RESULT] EOL Apache Ant 1.9.x release series,2,body_reviewed_followup_pending,local_governance_candidate,Ant 1.9.x EOL approved; website update planned. Same EOL family; no observed foundation intervention in this result thread.
topic-2014a5e3c476044b,ant,2024-07-22,JDK 23 RDP2 | Removal of the legacy COMPAT locale provider and more heads-up!,2,pending,,
topic-b64bfaa347577e55,ant,2024-08-03,[PR] Destroy forcibly forked test using SIGKILL [ant],3,pending,,
topic-e2d514033678f75f,ant,2024-08-18,[VOTE] Release Apache Ant 1.10.15 based on RC1,4,pending,,
topic-33b05c75bcbfca54,ant,2024-08-21,[CANCELLED] Release Apache Ant 1.10.15 based on RC1,1,pending,,
topic-b287137d0f60809a,ant,2024-08-23,JDK 23 Release Candidates | Restrictive JAXP Configuration Heads-up,2,pending,,
topic-0de0d9c9d8fa5930,ant,2024-08-25,[VOTE] Release Apache Ant 1.10.15 based on RC2,5,pending,,
topic-395779ca6838dba3,ant,2024-08-25,Issues noticed in RC1 of 1.10.15 have been addressed (was: [VOTE] ...),1,pending,,
topic-05551c28c7f503b7,ant,2024-08-29,[ANNOUNCE] Apache Ant 1.10.15 released,1,pending,,
topic-b683718cf5bba55f,ant,2024-08-29,[RESULT] Release Apache Ant 1.10.15 based on RC2,1,pending,,
topic-cc8073842a5ec52b,ant,2024-08-29,[PR] Add checksum check to `TarEntry` [ant],12,pending,,
topic-a14b72110f031a7c,ant,2024-10-10,"[PR] BUG-ID : 59160 , fix extracting host for ipv6 address [ant]",3,pending,,
topic-242f63b5a2286b90,ant,2024-10-25,"OpenJDK Quality Outreach: JDK 23 is GA, JDK 24 EA builds",2,pending,,
topic-08fb6b821a097b98,ant,2024-11-08,[PR] Fix copy&paste error in signjar documentation [ant],2,pending,,
topic-d917f7ba5a2e5720,ant,2024-11-09,Ivy 2.5.2 incompatibility with JDK 21 due to Pack200 removal,3,pending,,
topic-01bcb5defa1482d7,ant,2024-11-12,[PR] Partial fix for IVY-1649 [ant-ivy],2,pending,,
topic-52285c315ef875dd,ant,2024-11-12,[PR] Fix for IVY-1649 and IVY-1650 [ant-ivy],1,pending,,
topic-a3744476787649e8,ant,2024-11-17,[PR] IVY-1651: improved documentation regarding patterns and retrieve task [ant-ivy],1,pending,,
topic-810a17a194ee2a5a,ant,2024-12-13,JDK 24 Feature Freeze | Permanently Disabling the Security Manager,1,pending,,
topic-9b3d71c01dbcf70c,ant,2024-12-15,[PR] Consider VM-configuration when determining if SecurityManager may be set [ant],7,pending,,
topic-0960738e39738416,ant,2024-12-20,[PR] Prepare 2.5.3 release [ant-ivy],1,pending,,
topic-7b94aebefff61a3f,ant,2024-12-21,[PR] Shuffle the test methods in the same class(for junit4) [ant],1,pending,,
topic-a1bdfa98df29126e,ant,2024-12-23,[VOTE] Ivy 2.5.3 Release,6,pending,,
topic-e2da244fc99c3d97,ant,2024-12-25,DOAP file (was Re: [VOTE] Ivy 2.5.3 Release),2,body_reviewed_followup_pending,release_followup,Ivy 2.5.3 DOAP syntax correction and reported fix; shared catalogue use does not establish a directed foundation commitment. Attach to release family review.
topic-8992a490886fc1d1,ant,2024-12-29,[RESULT] Ivy 2.5.3 Release,1,pending,,
topic-e74470ec31bf288f,ant,2025-01-02,[Announce] Release of Apache Ivy 2.5.3,1,pending,,
topic-5f9b82ec107f9539,ant,2025-01-14,[PR] Add classifier to extra info [ant-ivy],8,pending,,
topic-66ee0b84fd96fb61,ant,2025-02-11,JDK 24 Release Candidate | JavaOne and More Heads-Up,1,pending,,
topic-2a57fc189985693a,ant,2025-03-26,Ivy git push not seen on CI,5,body_reviewed_followup_pending,service_candidate,Ivy Gitbox lag prompted a local GitHub-remote workaround; April reply says Gitbox caught up. No identified foundation act or causal remedy in this thread.
topic-18636b4eb23c2465,ant,2025-04-07,OpenJDK Quality Outreach: Java 24 Is Now Available!,1,pending,,
topic-87870da9ff4237e8,ant,2025-05-29,Support for -cp launcher option,2,pending,,
topic-01c200a9a1acb10a,ant,2025-05-31,[PR] Bump commons-net from 3.8.0 to 3.9.0 in /src/etc/poms/ant-commons-net [ant],2,pending,,
topic-1275f5bd65fb232d,ant,2025-05-31,[PR] Improve JUnit report title handling [ant],5,pending,,
topic-34d342957dfdfec5,ant,2025-05-31,[PR] Upgrade Hamcrest to 3.0 [ant],6,pending,,
topic-586b870ae5e97158,ant,2025-05-31,[PR] improve filtering performance [ant],4,pending,,
topic-745a6ff3c94efa9e,ant,2025-05-31,[PR] Bump xercesImpl from 2.12.0 to 2.12.2 in /src/etc/poms/ant-junit [ant],2,pending,,
topic-b86e1c5bac0717c3,ant,2025-05-31,[PR] Fix PermissionUtils.FileType.of for sym links [ant],6,pending,,
topic-c4f7228d8c3ff85d,ant,2025-05-31,[PR] Bump xercesImpl from 2.12.0 to 2.12.2 in /src/etc/poms/ant [ant],2,pending,,
topic-d541747f7be4cb58,ant,2025-05-31,looks as if sync github -> gitbox wasn't working for Ant,1,body_reviewed_followup_pending,service_candidate,Ant repository sync failure is reported with a reference to earlier Ivy trouble. Different repository/deliverable; do not merge solely because symptom is shared.
topic-9cfff2d96ef901d4,ant,2025-06-03,[PR] Update the SPDX ID of license [ant],3,pending,,
topic-f415a9287f09c967,ant,2025-06-04,[PR] refactor array filtering [ant],3,pending,,
topic-2cf64d6717bd42ba,ant,2025-06-05,[PR] improve security of TLS handling in MimeMailers [ant],11,pending,,
topic-e3da8add945d321f,ant,2025-06-06,JDK 25 feature set is now frozen!,8,pending,,
topic-2a4add36a294cc93,ant,2025-06-08,[PR] differenciate between errors and failures for junitlauncher [ant],4,pending,,
topic-b5c4c1e4a426bd30,ant,2025-06-17,[PR] adding support for dependency management,3,pending,,
topic-474ca7689f10fa3d,ant,2025-06-19,Bugzilla now reqires an account,1,body_reviewed_followup_pending,service_candidate,"Project message reports Bugzilla login requirement due to abuse. Official effective rule, actor, and dated receiver behavior require corroboration; no credential access."
topic-fba105efb032b4ef,ant,2025-06-26,In less than four weeks Ant's first release will be 25 years old,2,pending,,
topic-5e1b873127ce9f84,ant,2025-06-28,[PR] Remove spurious indent for 'Inline mode' [ant-ivy],4,pending,,
topic-28550683d90e8521,ant,2025-07-03,[PR] Exit ant.bat with ERROR_ENVVAR_NOT_FOUND if ANT_HOME isn't/can't be set [ant],5,pending,,
topic-2992f9ffca67c154,ant,2025-07-03,[PR] Exit ant.bat with ERROR_FILE_NOT_FOUND if ANT_HOME isn't/can't be set [ant],1,pending,,
topic-d1e04d41257069ad,ant,2025-08-01,"[PR] IVY-1485, IVY-1661: collect dependency properties by conf [ant-ivy]",14,pending,,
topic-5b96e9194739e1bf,ant,2025-08-02,[PR] Use StreamSupport and spliterator to create a stream for ResourceCollection [ant],9,pending,,
topic-7712ee23a3f57dea,ant,2025-08-02,[PR] Update build.xml to allow current JVM [ant-antlibs-props],1,pending,,
topic-a113fdffd3913a7d,ant,2025-08-04,[PR] IVY-813: add typedef for nearest conflict manager [ant-ivy],2,pending,,
topic-36681d8b5364e259,ant,2025-08-05,[PR] Ivy main/standalone: Patch to include 'makepom' function  [ant-ivy],2,pending,,
topic-2bf06ca0f613742f,ant,2025-08-08,[PR] IVY-1659: fix for `NullPointerException` [ant-ivy],7,pending,,
topic-3918eac754c0ea36,ant,2025-08-12,JDK 25 Initial Release Candidate,2,pending,,
topic-29137bf709f5a618,ant,2025-08-14,[PR] IVY-1653: `makepom`: write overrides to Maven `dependencyManagement` section [ant-ivy],22,pending,,
topic-e5db8a858c388b8e,ant,2025-08-18,[PR] IVY-1662: collect updates by conf and check transitive on old dependency [ant-ivy],8,pending,,
topic-451b29895e8ed16a,ant,2025-08-31,[PR] IVY-1410: apply resolved revision to inherited dependency [ant-ivy],4,pending,,
topic-e46f9324ff9dfe03,ant,2025-09-06,testutils + GitHub action -> fail,3,body_reviewed_followup_pending,ordinary_support,RAT testutils failure differs between GitHub Linux and other environments. Technical troubleshooting thread does not document a foundation-project decision request; actual service cause remains unknown.
topic-606b6be3d30359f5,ant,2025-09-11,[PR] Java 8: use `assertThrows` instead of `ExpectedException` rule [ant-ivy],5,pending,,
topic-5d3a7aadefb9fa4d,ant,2025-09-23,Java 25 Released and New Leyden EA Builds,2,pending,,
topic-f4fe820b4eb9d780,ant,2025-10-09,[PR] Added a new DownloadProgress class to Get.java to display a progress bar. [ant],7,pending,,
topic-d669cdc2c08ef352,ant,2025-10-15,Get task progress bar,4,pending,,
topic-be9afc394c43b23d,ant,2025-11-11,SBOM for Ant,11,body_reviewed_followup_pending,policy_candidate,"Local SBOM proposal discusses tooling, maintenance cost, and CISA/CRA uncertainty. Foundation policy link and external-shock sources remain to be checked; no mandate or completed implementation inferred."
topic-f891b5d030af717f,ant,2025-12-01,(ant) branch master updated: bz-69485 Revert the foreach loop change that was done to FTP.java in 1c80d507f496dde98869890e671edf635bef8dec,4,pending,,
topic-ff4a3a6a82cdd636,ant,2025-12-08,"JDK 26 Feature Freeze, HTTP/3, and more Heads-Ups",2,pending,,
topic-a3b07a7ada745983,httpd,2023-01-01,Bug report for Apache httpd-2 [2023/01/01],1,pending,,
topic-d92ae2fede7bb7ec,httpd,2023-01-02,CVE-2022-22728: libapreq2: libapreq2 multipart form parse memory corruption,3,pending,,
topic-0b9544b80911a3af,httpd,2023-01-03,Intent to T&R early next week,1,pending,,
topic-43f0c14b3f93da7a,httpd,2023-01-04,A little help with a patch for mod_proxy and friends,1,pending,,
topic-426932aa82006093,httpd,2023-01-08,Bug report for Apache httpd-2 [2023/01/08],1,pending,,
topic-85a47e99e9a68fc1,httpd,2023-01-09,svn commit: r1906487 - /httpd/httpd/trunk/modules/dav/main/util.c,5,pending,,
topic-9415a114237fe5a0,httpd,2023-01-09,stable branch,7,pending,,
topic-e10c589870db4e6d,httpd,2023-01-09,svn commit: r1903677 - in /httpd/httpd/trunk: changes-entries/ docs/manual/mod/ modules/md/ test/modules/md/,2,pending,,
topic-e2f39d47fbba75c8,httpd,2023-01-09,svn commit: r1906494 - in /httpd/httpd/branches/2.4.x: ./ CHANGES STATUS docs/manual/expr.xml docs/manual/mod/mod_authn_core.xml modules/aaa/mod_authn_core.c,2,pending,,
topic-6fa09548e8ef531d,httpd,2023-01-10,[VOTE] Release httpd-2.4.55-rc1 as httpd-2.4.55,18,pending,,
topic-3e0de885d22ef74a,httpd,2023-01-12,svn commit: r1906618 - /httpd/httpd/branches/2.2.x/docs/manual/rewrite/intro.xml,6,pending,,
topic-4ec3ebf9078731dd,httpd,2023-01-15,Bug report for Apache httpd-2 [2023/01/15],1,pending,,
topic-abe9625c30ae0045,httpd,2023-01-17,[httpd-site] branch main updated: publishing release httpd-2.4.55,6,pending,,
topic-ca53aefe5b3a9020,httpd,2023-01-17,mod_wasm: Contributing Upstream to Apache,28,pending,,
topic-459b5fb2b64e2610,httpd,2023-01-18,sporadic 500 errors with 2.4.55,18,pending,,
topic-49187621fb3fe77a,httpd,2023-01-22,Bug report for Apache httpd-2 [2023/01/22],1,pending,,
topic-80515c261c377c21,httpd,2023-01-27,svn commit: r1907031 - /httpd/httpd/trunk/docs/manual/mod/mod_proxy.xml,2,pending,,
topic-f0643589d20ca5b4,httpd,2023-02-02,CPU affinity request,2,pending,,
topic-34886831ebcb259b,httpd,2023-02-05,Bug report for Apache httpd-2 [2023/02/05],1,pending,,
topic-17ca7e98b2766cea,httpd,2023-02-10,MS-WDV and other MS extensions,7,pending,,
topic-0ecb294d3ba4d586,httpd,2023-02-12,Bug report for Apache httpd-2 [2023/02/12],1,pending,,
topic-189f37eb238f2a5d,httpd,2023-02-14,svn commit: r1907608 - in /httpd/httpd/trunk: CMakeLists.txt modules/dav/main/NWGNUmakefile modules/dav/main/config5.m4 modules/dav/main/mod_dav.c modules/dav/main/mod_dav.dsp modules/dav/main/mod_dav.h modules/dav/main/ms_wdv.c modules/dav/main/util.c,4,pending,,
topic-223e675d6ae35fd5,httpd,2023-02-15,[VOTE] broader RTC exception for 2.4.x CI changes,5,pending,,
topic-a0b1542c47ae0d4a,httpd,2023-02-15,svn commit: r1907680 - /httpd/httpd/trunk/modules/dav/main/ms_wdv.c,1,pending,,
topic-ae010811981466e8,httpd,2023-02-15,"CI status update: Travis out, GitHub Actions in",3,pending,,
topic-cd925b7f207cab06,httpd,2023-02-16,*** SPAM *** [VOTE] broader RTC exception for 2.4.x CI changes,1,pending,,
topic-e65fd14cb395343d,httpd,2023-02-19,Bug report for Apache httpd-2 [2023/02/19],1,pending,,
topic-97a63726835169b3,httpd,2023-02-26,Bug report for Apache httpd-2 [2023/02/26],1,pending,,
topic-2b13237debe0a419,httpd,2023-03-01,[apache/httpd] Event wip (PR #294),2,pending,,
topic-c7fb6332a1b34d50,httpd,2023-03-01,Why is my merge_dir_config not called,3,pending,,
topic-547f3c8feeaf63c6,httpd,2023-03-02,svn commit: r1907984 - /httpd/httpd/trunk/modules/dav/fs/quota.c,2,pending,,
topic-62aef1dfd7f6f1c0,httpd,2023-03-02,svn commit: r1907974 - in /httpd/httpd/trunk: CMakeLists.txt modules/dav/fs/config6.m4 modules/dav/fs/mod_dav_fs.c modules/dav/fs/mod_dav_fs.dsp modules/dav/fs/repos.c modules/dav/fs/repos.h modules/dav/main/mod_dav.h,1,pending,,
topic-7cf99c49e49cb015,httpd,2023-03-02,svn commit: r1907980 - in /httpd/httpd/trunk: changes-entries/proxy_uwsgi_response_validation.txt modules/proxy/mod_proxy_uwsgi.c,3,pending,,
topic-9cb5e2bec6299f9a,httpd,2023-03-02,svn commit: r1907989 - /httpd/httpd/trunk/modules/dav/fs/quota.c,1,pending,,
topic-ffec26671fa16812,httpd,2023-03-02,intent to T&R this weekend,1,pending,,
topic-977cae5cee9be41b,httpd,2023-03-05,svn commit: r1907972 - in /httpd/httpd/trunk/modules: http2/mod_proxy_http2.c proxy/mod_proxy.c proxy/mod_proxy_ajp.c proxy/mod_proxy_balancer.c proxy/mod_proxy_fcgi.c proxy/mod_proxy_http.c proxy/mod_proxy_wstunnel.c,4,pending,,
topic-c18d38296fb2cd4c,httpd,2023-03-05,[VOTE] [VOTE] Release httpd-2.4.56-rc1 as httpd-2.4.56,31,pending,,
topic-cc513488c346975b,httpd,2023-03-05,Bug report for Apache httpd-2 [2023/03/05],1,pending,,
topic-6d45ce319ae2ea61,httpd,2023-03-06,svn commit: r1908060 - in /httpd/httpd/trunk/test/modules: http1/htdocs/cgi/ http2/ http2/htdocs/cgi/ md/ tls/ tls/htdocs/a.mod-tls.test/ tls/htdocs/b.mod-tls.test/,5,pending,,
topic-99b3283bd94947cf,httpd,2023-03-06,expose SSL_SHARED_CIPHERs from SSL/TLS,3,pending,,
topic-fe0d90b9351f666f,httpd,2023-03-06,svn commit: r1908116 - in /httpd/httpd/trunk: docs/log-message-tags/next-number modules/http2/mod_proxy_http2.c,3,pending,,
topic-a4ec3147053e5569,httpd,2023-03-07,fixed autolinks from cve process,1,pending,,
topic-b95adda988ce049a,httpd,2023-03-07,svn commit: r1908132 - in /httpd/httpd/trunk: CHANGES docs/manual/mod/mod_ssl.xml modules/ssl/ssl_engine_kernel.c modules/ssl/ssl_engine_vars.c,1,pending,,
topic-e9b23dfd785c009d,httpd,2023-03-07,svn commit: r1908179 - /httpd/dev-tools/release/README,1,pending,,
topic-052c96640041d6dc,httpd,2023-03-08,Current pytest failures,9,pending,,
topic-39874e7b96c60747,httpd,2023-03-09,mod_log_json,1,pending,,
topic-983c5a90337fd050,httpd,2023-03-12,Bug report for Apache httpd-2 [2023/03/12],1,pending,,
topic-25ea338dbded5779,httpd,2023-03-13,svn commit: r1908300 - in /httpd/test/framework/trunk/t: conf/extra.conf.in modules/rewrite.t,2,pending,,
topic-a4395fc591655261,httpd,2023-03-13,svn commit: r1908349 - in /httpd/test/framework/trunk/t: conf/extra.conf.in modules/rewrite.t,12,pending,,
topic-c62fa51d246bec27,httpd,2023-03-13,svn commit: r1908301 - in /httpd/httpd/trunk: changes-entries/rewrite-bctls docs/manual/rewrite/flags.xml modules/mappers/mod_rewrite.c,5,pending,,
topic-44d177e7099687fd,httpd,2023-03-14,svn commit: r1908358 - in /httpd/test/framework/trunk/t: conf/extra.conf.in modules/rewrite.t,5,pending,,
topic-5c2f0671674012ce,httpd,2023-03-14,svn commit: r1908380 - in /httpd/httpd/trunk: changes-entries/errorlogformat.txt include/util_time.h server/log.c server/util_time.c,6,pending,,
topic-c4ec571b732d93bf,httpd,2023-03-14,svn commit: r1908388 - in /httpd/httpd/trunk/server: core.c log.c,2,pending,,
topic-a94068ab9dcee89b,httpd,2023-03-15,svn commit: r1908359 - /httpd/httpd/trunk/modules/mappers/mod_rewrite.c,2,pending,,
topic-f31e11fbb0684336,httpd,2023-03-15,"Question about 2.4.56 ""client resets of HTTP/2 streams led to unwanted 500 errors"" fix",6,pending,,
topic-b59afb7a8993c427,httpd,2023-03-19,mod_watchdog.c looping for mutex?,3,pending,,
topic-ea1d659cd40efc8a,httpd,2023-03-19,Bug report for Apache httpd-2 [2023/03/19],1,pending,,
topic-2ee427becc5e1047,httpd,2023-03-20,svn commit: r1908537 - /httpd/httpd/trunk/modules/ssl/,20,pending,,
topic-ff4e96d71b06cfa6,httpd,2023-03-22,Logging Behaviour under server,2,pending,,
topic-5d3bcdd82f52d384,httpd,2023-03-24,[PATCH 1/3] mod_log_config: add creating tag to log_format_item,1,pending,,
topic-722e140cf7a3e31e,httpd,2023-03-24,[PATCH 2/3] mod_log_config: Forward log_format_items to the log_writer,1,pending,,
topic-76870fb2fc41b4c6,httpd,2023-03-24,[PATCH 3/3] mod_log_config: Add JSON logger,1,pending,,
topic-a97976de56043b27,httpd,2023-03-24,[RFC] JSON logging support for httpd 2.4.x,5,pending,,
topic-ce52adb2f51c0e03,httpd,2023-03-26,Bug report for Apache httpd-2 [2023/03/26],2,pending,,
topic-10439fc2df537517,httpd,2023-03-28,svn commit: r1908684 - in /httpd/httpd/trunk: docs/log-message-tags/next-number modules/cache/mod_cache_disk.c,2,pending,,
topic-f2454387006fc3de,httpd,2023-03-29,A Message from the Board to PMC members,1,pending,,
topic-9598963eb5b0df6b,httpd,2023-03-30,I plan to RM some time this weekend,3,pending,,
